Crop,Area Kharif,Area Rabi,Area Total,Production Kharif,Production Rabi,Production Total,Yeild Kharif,Yeild Rabi,Yeild Total
Redgram,3.86,0.01,3.87,2.61,0.01,2.62,676,867,677
Blackgram,0.41,0.11,0.52,0.34,0.09,0.43,818,826,820
Greengram,1.35,0.11,1.46,0.82,0.10,0.92,610,903,632
Horsegram,N,0.01,0.01,N,0.01,0.01,383,383,383
Bengalgram,0.00,1.02,1.02,0.00,1.32,1.32,0.00,1299,1299
Cowgram,0.01,0.05,0.06,0.01,0.05,0.06,612,1067,986
Rajma Beans,0.00,0.01,0.01,0.00,N,N,0,622,622
Anumulu,N,N,N,N,N,N,444,194,427
Yerrapappu,0,N,N,0,N,N,0,528,528
Total Pulses,5.63,1.32,6.95,3.78,1.58,5.36,670,1202,771